Participant,Stimulus,Trial,Time,Gaze_x,Gaze_y,Type,Target_TopLeft_x,Target_TopLeft_y,Target_BottomRight_x,Target_BottomRight_y
S001,Male_014_v,46.0,0.935,452.0,264.0,Image,297.66668701171875,54.5,571.6666870117188,420.5
S001,Male_014_v,46.0,1.001,452.0,264.0,Image,297.66668701171875,54.5,571.6666870117188,420.5
S001,Male_014_v,46.0,1.137,452.0,264.0,Image,297.66668701171875,54.5,571.6666870117188,420.5
S001,Male_014_v,46.0,1.224,452.0,264.0,Image,297.66668701171875,54.5,571.6666870117188,420.5
S001,Male_014_v,46.0,1.314,452.0,264.0,Image,297.66668701171875,54.5,571.6666870117188,420.5
S001,Male_014_v,46.0,1.382,452.0,264.0,Image,297.66668701171875,54.5,571.6666870117188,420.5
S001,Male_014_v,46.0,1.449,452.0,264.0,Image,297.66668701171875,54.5,571.6666870117188,420.5
S001,Male_014_v,46.0,1.522,452.0,264.0,Image,297.66668701171875,54.5,571.6666870117188,420.5
S001,Male_014_v,46.0,1.589,452.0,264.0,Image,297.66668701171875,54.5,571.6666870117188,420.5
S001,Male_014_v,46.0,1.649,452.0,264.0,Image,297.66668701171875,54.5,571.6666870117188,420.5
S001,Male_014_v,46.0,1.719,452.0,264.0,Image,297.66668701171875,54.5,571.6666870117188,420.5
S001,Male_014_v,46.0,1.791,452.0,264.0,Image,297.66668701171875,54.5,571.6666870117188,420.5
S001,Male_014_v,46.0,1.857,452.0,264.0,Image,297.66668701171875,54.5,571.6666870117188,420.5
S001,Opposite-sex_couple_007_h,47.0,0.003,452.0,264.0,Fixation Cross,434.66668701171875,230.5833282470703,434.66668701171875,230.5833282470703
S001,Opposite-sex_couple_007_h,47.0,0.128,452.0,264.0,Fixation Cross,434.66668701171875,230.5833282470703,434.66668701171875,230.5833282470703
S001,Opposite-sex_couple_007_h,47.0,0.187,452.0,264.0,Fixation Cross,434.66668701171875,230.5833282470703,434.66668701171875,230.5833282470703
